  Daily Lake Average Surface Water Temperature
                     From
 Great Lakes Surface Environmental Analysis maps

--------------------------------------------------------
                  Surf. Water Temp. (degrees C)

Year Day    Sup.   Mich.   Huron    Erie    Ont.  St.Clr
2021 107    2.46    4.17    3.74    6.61    4.70    8.34
2021 108    2.39    4.25    3.78    6.68    4.74    8.35
2021 109    2.43    4.32    3.79    6.79    4.84    8.28
2021 110    2.48    4.29    3.75    6.75    4.85    7.96
2021 111    2.55    4.32    3.72    6.66    4.80    7.74
2021 112    2.67    4.42    3.76    6.62    4.79    7.64
2021 113    2.72    4.46    3.85    6.65    4.84    7.62
2021 114    2.71    4.47    3.86    6.73    4.91    7.76
2021 115    2.73    4.52    3.86    6.87    4.99    8.05
2021 116    2.76    4.57    3.88    6.95    5.10    8.06
2021 117    2.79    4.70    3.97    7.08    5.13    8.13
2021 118    2.83    4.87    4.12    7.37    5.15    8.47
2021 119    2.88    4.99    4.26    7.68    5.24    8.79
2021 120    3.04    5.08    4.34    7.88    5.31    8.95
2021 121    3.15    5.16    4.40    8.09    5.37    9.06
2021 122    3.19    5.34    4.45    8.23    5.40    9.18
2021 123    3.13    5.46    4.56    8.35    5.49    9.47
2021 124    3.06    5.47    4.65    8.56    5.62    9.94
2021 125    3.03    5.50    4.67    8.70    5.68   10.20
2021 126    3.03    5.55    4.70    8.79    5.71   10.30
2021 127    3.06    5.58    4.78    8.98    5.81   10.47
2021 128    3.14    5.67    4.85    9.06    5.94   10.47
2021 129    3.21    5.76    4.91    9.14    6.06   10.34
2021 130    3.30    5.83    5.01    9.18    6.21   10.33
2021 131    3.42    5.99    5.16    9.36    6.30   10.70
2021 132    3.50    6.32    5.35    9.61    6.47   11.21
2021 133    3.56    6.58    5.53   10.01    6.72   11.77
2021 134    3.64    6.74    5.75   10.50    7.07   12.20
2021 135    3.74    6.93    6.03   11.04    7.66   12.41
2021 136    3.83    7.29    6.48   11.74    8.72   12.73
2021 137    4.09    7.89    6.95   12.34    9.59   12.92
2021 138    4.43    8.32    7.33   13.00   10.00   13.25
2021 139    4.44    8.22    7.34   13.28   10.52   13.19
2021 140    4.43    8.16    7.31   13.85   10.98   13.22
2021 141    4.50    8.39    7.54   14.43   11.74   13.61
2021 142    4.70    8.97    7.99   15.30   12.30   14.53
2021 143    4.81    9.59    8.42   16.03   12.77   15.09
2021 144    4.95   10.14    8.58   16.15   13.02   15.15
2021 145    4.85   10.43    8.69   16.30   13.14   15.71
2021 146    4.53   10.41    8.54   16.19   12.96   15.82
2021 147    4.41   10.03    8.35   15.54   12.58   15.62
2021 148    4.47    9.54    8.50   14.86   12.19   15.28
2021 149    4.60    9.31    8.70   14.03   11.64   14.80
2021 150    4.62    9.39    9.03   13.57   11.25   14.76
2021 151    4.61    9.71    9.37   13.69   11.41   15.31
2021 152    4.77   10.10    9.80   14.43   11.85   15.92
2021 153    5.23   10.70   10.20   15.44   12.24   16.69
2021 154    5.81   11.44   10.84   16.33   13.08   17.84
2021 155    6.38   12.36   11.72   16.73   13.99   18.42
2021 156    6.81   13.05   12.37   16.99   14.54   19.00
2021 157    7.07   13.61   12.83   17.59   15.06   19.72
2021 158    7.51   14.37   13.38   18.55   15.64   20.52
2021 159    7.78   15.37   14.12   19.45   16.14   21.12
2021 160    7.74   16.03   14.43   19.93   16.45   21.51
2021 161    7.63   16.52   14.38   19.93   16.31   21.72
2021 162    7.66   16.88   14.15   19.72   16.27   21.69
2021 163    7.63   16.93   14.13   19.75   16.64   21.71
2021 164    7.50   16.84   14.34   19.88   17.02   21.56
2021 165    7.27   16.50   14.34   19.72   16.80   21.23
2021 166    7.34   16.22   14.29   19.32   16.28   20.89
2021 167    7.58   16.17   14.34   18.98   15.92   20.77
2021 168    7.76   16.15   14.49   18.90   15.64   20.90
2021 169    7.75   16.12   14.60   18.97   15.64   20.99
2021 170    7.64   16.05   14.69   18.96   15.89   20.91
2021 171    7.62   15.91   14.69   19.00   16.14   20.94
2021 172    7.57   15.53   14.38   18.99   16.18   20.92
2021 173    7.67   15.24   13.96   18.86   15.93   20.69
2021 174    7.90   15.17   13.81   18.82   15.86   20.58
2021 175    8.25   15.21   13.95   18.97   16.08   20.81
2021 176    8.71   15.46   14.32   19.38   16.54   21.17
2021 177    9.46   15.74   14.73   19.98   17.25   21.41
2021 178   10.27   15.90   15.11   20.47   18.06   21.65
2021 179   10.92   16.12   15.39   21.06   19.16   22.15
2021 180   11.36   16.54   15.76   21.87   20.12   22.80
2021 181   11.47   16.79   15.93   21.69   19.91   22.71
2021 182   11.31   16.73   15.88   21.20   19.46   22.36
2021 183   11.54   16.70   15.83   20.86   19.31   22.06
2021 184   12.10   16.90   16.13   20.74   19.33   21.92
2021 185   12.43   17.31   16.61   21.07   19.48   22.14
2021 186   12.74   17.84   17.09   21.54   19.78   22.76
