  Daily Lake Average Surface Water Temperature
                     From
 Great Lakes Surface Environmental Analysis maps

--------------------------------------------------------
                  Surf. Water Temp. (degrees C)

Year Day    Sup.   Mich.   Huron    Erie    Ont.  St.Clr
2023 165    4.53   12.35   11.74   16.43   14.60   16.98
2023 166    4.65   12.34   11.97   16.59   14.79   17.18
2023 167    4.73   12.34   12.22   16.86   15.11   17.49
2023 168    4.84   12.61   12.58   17.13   15.38   17.92
2023 169    4.98   13.19   13.11   17.55   15.90   18.37
2023 170    5.20   13.82   13.62   17.92   16.31   18.90
2023 171    5.52   14.36   14.32   18.22   16.59   19.51
2023 172    5.70   14.83   15.19   18.54   16.97   19.92
2023 173    5.77   15.28   16.13   18.75   17.41   20.08
2023 174    5.78   15.70   17.04   19.09   17.99   20.25
2023 175    5.79   16.11   17.63   19.61   18.86   20.65
2023 176    5.86   16.15   17.75   19.95   19.43   20.65
2023 177    6.04   15.76   17.48   19.95   19.53   20.53
2023 178    6.20   15.46   17.06   19.87   19.44   20.36
2023 179    6.36   15.52   16.73   19.79   19.21   20.22
2023 180    6.69   15.83   16.81   19.94   19.00   20.42
2023 181    7.05   16.37   17.16   20.28   19.29   20.89
2023 182    7.55   17.06   17.74   20.78   19.80   21.40
2023 183    7.92   17.49   18.55   21.50   20.42   21.97
2023 184    8.13   17.86   19.31   22.16   21.07   22.55
2023 185    8.19   18.42   19.85   22.65   21.41   23.09
2023 186    8.23   18.81   20.07   23.11   21.89   23.44
2023 187    8.25   18.86   19.75   23.27   22.33   23.40
2023 188    8.34   18.95   19.31   23.10   22.37   23.17
2023 189    8.54   19.11   19.14   22.96   22.21   23.06
2023 190    8.70   19.27   19.02   22.83   22.04   22.91
2023 191    8.79   19.32   19.03   22.79   21.91   22.81
2023 192    8.77   19.20   19.03   22.81   21.83   22.76
2023 193    8.95   19.19   18.91   22.76   21.65   22.66
2023 194    9.35   19.20   18.77   22.67   21.34   22.51
2023 195    9.77   19.29   18.77   22.68   21.18   22.51
2023 196   10.26   19.48   18.94   22.73   21.28   22.50
2023 197   10.54   19.64   19.09   22.70   21.47   22.45
2023 198   10.67   19.67   19.20   22.81   21.58   22.49
2023 199   10.86   19.81   19.35   23.03   21.78   22.63
2023 200   11.17   20.06   19.57   23.25   21.98   22.89
2023 201   11.68   20.26   19.67   23.34   22.05   22.97
2023 202   12.09   20.42   19.71   23.29   21.95   22.96
2023 203   12.60   20.64   19.91   23.32   21.95   23.14
2023 204   13.22   20.84   20.13   23.45   22.13   23.21
2023 205   13.82   21.08   20.42   23.56   22.31   23.44
2023 206   14.33   21.35   20.72   23.70   22.46   23.59
2023 207   14.64   21.54   20.89   23.85   22.62   23.64
2023 208   14.89   21.72   21.05   23.85   22.73   23.79
2023 209   15.02   21.85   21.16   23.87   22.86   23.81
2023 210   15.13   21.80   21.13   23.88   22.74   23.77
2023 211   15.19   21.81   21.03   23.82   22.54   23.69
2023 212   15.28   21.82   20.93   23.71   22.43   23.54
2023 213   15.55   21.85   20.91   23.63   22.42   23.37
2023 214   16.02   22.03   20.95   23.66   22.39   23.43
2023 215   16.43   22.18   21.03   23.82   22.37   23.65
2023 216   16.66   22.23   21.01   23.91   22.35   23.75
2023 217   16.90   22.23   21.02   23.92   22.41   23.70
2023 218   17.17   22.17   20.97   23.80   22.44   23.49
2023 219   17.57   22.08   20.78   23.59   22.42   23.13
2023 220   17.83   22.03   20.51   23.39   22.33   22.88
2023 221   17.72   22.06   20.36   23.35   22.21   23.00
2023 222   17.48   22.04   20.24   23.38   22.05   23.15
2023 223   17.22   21.99   20.10   23.40   21.96   23.19
2023 224   16.81   21.89   20.02   23.42   21.93   23.25
2023 225   16.45   21.74   19.91   23.42   21.89   23.31
2023 226   16.44   21.44   19.83   23.34   21.89   23.13
2023 227   16.49   21.11   19.86   23.24   21.99   22.87
2023 228   16.34   20.88   19.85   23.19   22.09   22.75
2023 229   16.01   20.64   19.75   23.05   22.01   22.54
2023 230   15.77   20.37   19.35   22.81   21.55   22.25
2023 231   15.83   20.34   19.01   22.63   21.00   22.16
2023 232   15.94   20.49   19.01   22.58   20.79   22.17
2023 233   15.98   20.46   19.03   22.58   20.75   22.02
2023 234   15.98   20.55   19.06   22.52   20.74   21.86
2023 235   15.99   20.78   19.00   22.45   20.85   21.90
2023 236   16.01   20.85   18.89   22.39   20.93   21.89
2023 237   15.94   20.67   18.81   22.32   20.94   21.84
2023 238   15.81   20.45   18.76   22.28   20.93   21.76
2023 239   15.79   20.37   18.77   22.19   20.98   21.69
2023 240   15.74   20.26   18.79   22.16   21.12   21.66
2023 241   15.65   20.13   18.67   22.19   21.24   21.59
2023 242   15.60   19.93   18.44   22.09   21.16   21.41
2023 243   15.73   19.79   18.30   21.96   21.01   21.18
2023 244   15.88   19.82   18.34   21.98   21.01   21.20
2023 245   16.12   19.93   18.43   22.04   21.10   21.35
2023 246   16.36   20.13   18.63   22.24   21.32   21.76
2023 247   16.62   20.33   19.02   22.54   21.76   22.30
2023 248   16.53   20.43   19.44   22.89   22.27   22.72
2023 249   16.16   20.33   19.61   23.11   22.63   22.79
2023 250   15.80   20.02   19.32   23.01   22.51   22.69
2023 251   15.66   19.75   19.01   22.78   22.18   22.34
2023 252   15.60   19.61   18.82   22.50   21.83   21.87
2023 253   15.54   19.46   18.70   22.30   21.49   21.38
2023 254   15.39   19.33   18.59   22.21   21.32   21.10
2023 255   15.16   19.14   18.41   22.06   21.17   20.84
2023 256   14.98   19.00   18.26   21.90   21.04   20.58
2023 257   14.87   18.94   18.17   21.78   20.88   20.40
2023 258   14.87   18.91   18.10   21.71   20.74   20.34
2023 259   14.86   18.87   18.08   21.67   20.63   20.29
2023 260   14.87   18.79   18.03   21.61   20.51   20.26
2023 261   14.93   18.73   17.98   21.49   20.41   20.19
2023 262   14.99   18.70   17.94   21.37   20.28   20.17
2023 263   15.13   18.75   17.94   21.30   20.16   20.25
2023 264   15.32   18.89   18.04   21.29   20.10   20.40
2023 265   15.41   19.07   18.17   21.26   20.06   20.48
2023 266   15.45   19.15   18.28   21.20   20.00   20.45
2023 267   15.43   19.13   18.28   21.09   19.90   20.30
2023 268   15.41   19.07   18.25   20.96   19.80   20.22
2023 269   15.40   18.99   18.17   20.76   19.69   20.08
2023 270   15.40   18.90   18.08   20.53   19.60   19.87
2023 271   15.40   18.82   18.01   20.30   19.52   19.67
2023 272   15.44   18.80   17.97   20.15   19.45   19.46
2023 273   15.55   18.90   18.03   20.20   19.42   19.40
2023 274   15.69   19.05   18.24   20.41   19.55   19.65
2023 275   15.81   19.17   18.47   20.70   19.76   20.03
2023 276   15.89   19.25   18.65   20.93   19.96   20.26
2023 277   15.82   19.18   18.63   21.03   20.09   20.25
2023 278   15.67   19.01   18.46   20.89   20.04   20.03
2023 279   15.43   18.78   18.26   20.57   19.90   19.74
2023 280   15.01   18.52   18.11   20.24   19.70   19.56
2023 281   14.42   18.11   17.81   19.78   19.42   18.99
2023 282   13.80   17.75   17.31   19.18   19.07   18.19
2023 283   13.11   17.35   16.63   18.51   18.62   17.36
2023 284   12.61   16.88   15.92   17.82   18.10   15.96
2023 285   12.28   16.58   15.46   17.40   17.67   15.00
2023 286   12.08   16.27   15.18   17.18   17.20   14.83
2023 287   11.88   15.78   14.83   16.84   16.81   14.29
2023 288   11.67   15.32   14.37   16.30   16.16   13.47
2023 289   11.44   14.94   13.98   15.89   15.71   13.05
2023 290   11.25   14.58   13.57   15.50   15.35   12.62
2023 291   11.20   14.45   13.44   15.29   15.06   12.55
2023 292   11.12   14.34   13.36   15.19   14.84   12.58
2023 293   11.02   14.16   13.21   15.05   14.63   12.64
2023 294   10.88   13.99   13.00   14.85   14.34   12.65
2023 295   10.75   13.87   12.81   14.71   14.02   12.55
2023 296   10.68   13.72   12.59   14.64   13.83   12.41
2023 297   10.62   13.66   12.59   14.69   13.80   12.41
2023 298   10.50   13.39   12.50   14.76   13.82   12.42
2023 299   10.36   13.30   12.50   14.83   13.86   12.67
2023 300   10.19   13.19   12.48   14.93   13.92   13.06
2023 301    9.98   13.03   12.35   14.82   13.88   13.00
2023 302    9.75   12.74   12.10   14.50   13.67   12.43
2023 303    9.52   12.46   11.76   14.05   13.23   11.79
2023 304    9.28   12.19   11.46   13.71   12.83   11.34
2023 305    9.05   11.90   11.19   13.38   12.53   10.92
2023 306    8.82   11.68   10.87   13.02   12.23   10.50
2023 307    8.63   11.48   10.60   12.77   11.99    9.99
2023 308    8.50   11.33   10.46   12.55   11.74    9.62
2023 309    8.25   11.22   10.38   12.39   11.55    9.50
2023 310    8.08   11.10   10.25   12.32   11.34    9.53
2023 311    7.88   10.93   10.02   12.20   11.12    9.52
2023 312    7.56   10.70    9.74   12.03   10.85    9.56
2023 313    7.33   10.55    9.55   11.86   10.58    9.60
2023 314    7.16   10.39    9.35   11.68   10.42    9.49
2023 315    7.06   10.26    9.20   11.52   10.24    9.41
2023 316    7.02   10.17    9.10   11.43   10.07    9.34
2023 317    7.01   10.13    9.07   11.42    9.98    9.41
2023 318    6.99   10.08    9.03   11.41    9.94    9.45
2023 319    6.99   10.04    8.99   11.38    9.89    9.48
2023 320    6.92    9.96    8.94   11.31    9.86    9.45
2023 321    6.73    9.78    8.82   11.18    9.85    9.32
2023 322    6.57    9.63    8.63   11.04    9.73    9.19
2023 323    6.48    9.59    8.52   10.91    9.58    9.09
2023 324    6.39    9.53    8.45   10.77    9.42    9.03
2023 325    6.32    9.39    8.40   10.65    9.30    8.98
2023 326    6.20    9.20    8.26   10.43    9.20    8.80
2023 327    6.07    9.05    8.10   10.10    9.05    8.46
2023 328    5.92    8.90    7.94    9.79    8.91    8.13
2023 329    5.81    8.73    7.78    9.53    8.72    7.96
2023 330    5.69    8.45    7.64    9.34    8.53    7.77
2023 331    5.50    8.08    7.43    9.16    8.34    7.43
2023 332    5.29    7.77    7.19    8.80    8.09    6.98
2023 333    5.15    7.53    6.96    8.35    7.82    6.17
2023 334    5.06    7.43    6.75    8.06    7.67    5.33
2023 335    4.90    7.35    6.65    7.98    7.60    5.37
2023 336    4.84    7.28    6.58    7.90    7.57    5.52
2023 337    4.80    7.15    6.49    7.71    7.50    5.62
2023 338    4.76    7.00    6.39    7.48    7.35    5.69
2023 339    4.79    6.90    6.25    7.26    7.09    5.67
2023 340    4.81    6.86    6.20    7.17    6.96    5.69
2023 341    4.88    6.85    6.19    7.15    6.95    5.77
2023 342    4.93    6.85    6.20    7.18    6.95    5.87
2023 343    4.89    6.82    6.16    7.11    6.86    5.90
2023 344    4.83    6.70    6.12    6.96    6.71    5.87
2023 345    4.75    6.55    6.02    6.81    6.62    5.65
2023 346    4.71    6.47    5.92    6.73    6.57    5.47
2023 347    4.70    6.41    5.86    6.65    6.55    5.36
2023 348    4.76    6.37    5.84    6.61    6.57    5.30
2023 349    4.77    6.38    5.85    6.69    6.64    5.33
2023 350    4.72    6.37    5.83    6.69    6.53    5.37
2023 351    4.60    6.28    5.73    6.63    6.46    5.39
2023 352    4.48    6.14    5.63    6.47    6.34    5.40
2023 353    4.40    5.97    5.53    6.21    6.17    5.36
2023 354    4.41    5.87    5.50    6.03    6.07    5.26
2023 355    4.42    5.88    5.50    6.03    6.08    5.18
2023 356    3.60    5.46    4.86    6.04    5.66    4.95
2023 357    4.51    6.14    5.59    6.05    5.97    5.02
2023 358    4.53    6.00    5.58    5.94    5.96    4.90
2023 359    4.52    5.83    5.50    5.84    5.92    4.81
2023 360    4.52    5.77    5.44    5.75    5.90    4.88
2023 361    4.54    5.77    5.41    5.76    5.88    5.01
2023 362    4.57    5.80    5.39    5.79    5.86    5.25
2023 363    4.58    5.83    5.36    5.79    5.82    5.53
2023 364    4.54    5.81    5.29    5.79    5.77    5.70
2023 365    4.50    5.76    5.19    5.71    5.70    5.73
2024 001    4.45    5.63    5.04    5.61    5.64    5.62
2024 002    4.41    5.51    4.92    5.51    5.58    5.45
2024 003    4.37    5.47    4.81    5.34    5.52    5.22
2024 004    4.33    5.43    4.74    5.25    5.47    5.07
2024 005    4.28    5.40    4.63    5.17    5.41    4.98
2024 006    4.23    5.35    4.57    5.12    5.33    4.84
2024 007    4.21    5.32    4.50    5.03    5.19    4.70
2024 008    4.13    5.27    4.36    4.90    5.10    4.54
2024 009    4.00    5.16    4.24    4.68    5.06    4.36
2024 010    3.78    4.71    4.11    4.41    5.05    4.10
2024 011    3.61    4.37    3.81    4.20    4.97    3.90
2024 012    3.50    4.26    3.60    4.00    4.88    3.78
2024 013    3.21    4.10    3.48    3.93    4.79    3.74
2024 014    3.07    3.97    3.13    3.76    4.60    2.90
2024 015    2.94    3.82    3.11    3.36    4.48    0.20
2024 016    2.84    3.69    3.05    3.02    4.27    0.20
2024 017    2.76    3.62    2.86    2.65    4.17    0.20
2024 018    2.69    3.55    2.79    2.49    4.05    0.20
2024 019    2.57    3.29    2.63    2.06    3.87    0.20
2024 020    2.57    3.24    2.47    1.91    3.78    0.20
2024 021    2.53    3.26    2.59    1.87    3.80    0.26
2024 022    2.48    3.25    2.49    1.58    3.58    0.20
2024 023    2.61    3.37    2.54    1.57    3.77    0.20
2024 024    2.66    3.39    2.52    1.42    3.75    0.21
2024 025    2.76    3.40    2.52    1.46    3.81    0.27
2024 026    2.79    3.47    2.51    1.51    3.85    0.40
2024 027    2.81    3.49    2.47    1.55    3.83    0.20
2024 028    2.82    3.56    2.35    1.62    3.80    0.20
2024 029    2.84    3.56    2.48    1.83    3.78    0.84
2024 030    2.89    3.61    2.53    1.84    3.73    0.94
2024 031    2.96    3.62    2.57    1.81    3.74    0.56
2024 032    3.00    3.63    2.56    1.78    3.74    0.20
2024 033    2.94    3.65    2.58    1.92    3.72    0.20
2024 034    2.94    3.62    2.53    1.99    3.68    1.17
2024 035    2.96    3.62    2.60    2.01    3.65    1.42
2024 036    2.93    3.60    2.66    2.05    3.79    1.83
2024 037    2.88    3.54    2.64    2.16    3.82    1.85
2024 038    2.83    3.49    2.69    2.22    3.77    1.51
2024 039    2.83    3.48    2.75    2.23    3.82    1.76
2024 040    2.82    3.49    2.77    2.24    3.90    0.50
2024 041    2.77    3.51    2.80    2.26    3.93    1.85
2024 042    2.67    3.47    2.76    2.29    3.89    2.67
2024 043    2.57    3.47    2.70    2.25    3.78    3.11
2024 044    2.48    3.44    2.63    2.24    3.71    3.28
2024 045    2.35    3.38    2.53    2.22    3.68    3.26
2024 046    2.36    3.33    2.51    2.16    3.65    3.12
2024 047    2.34    3.28    2.46    2.13    3.61    2.89
2024 048    2.35    3.23    2.38    2.04    3.55    2.58
2024 049    2.35    3.24    2.31    1.94    3.50    1.37
2024 050    2.07    3.22    2.03    1.85    3.40    0.58
2024 051    2.27    3.34    2.09    2.00    3.40    0.54
2024 052    2.37    3.38    2.30    2.05    3.46    1.35
2024 053    2.35    3.32    2.31    2.04    3.52    1.86
2024 054    2.34    3.31    2.29    1.97    3.48    2.17
2024 055    2.25    3.18    2.17    1.93    3.38    2.33
2024 056    2.33    3.17    2.20    1.94    3.34    2.43
2024 057    2.38    3.22    2.22    2.02    3.41    2.59
2024 058    2.42    3.31    2.35    2.13    3.53    2.77
2024 059    2.39    3.31    2.39    2.21    3.56    2.93
2024 060    2.30    3.29    2.39    2.28    3.56    3.05
2024 061    2.24    3.41    2.42    2.36    3.60    3.18
2024 062    2.33    3.50    2.51    2.49    3.66    3.35
2024 063    2.41    3.51    2.57    2.71    3.65    3.64
2024 064    2.47    3.54    2.73    2.87    3.62    4.01
2024 065    2.50    3.63    2.77    2.99    3.78    4.32
2024 066    2.48    3.69    2.76    3.07    3.95    4.55
2024 067    2.47    3.66    2.77    3.12    4.07    4.74
2024 068    2.47    3.70    2.79    3.17    4.02    4.82
2024 069    2.48    3.64    2.74    3.23    3.98    4.81
2024 070    2.52    3.64    2.67    3.25    3.91    4.76
2024 071    2.56    3.65    2.61    3.26    3.87    4.69
2024 072    2.52    3.67    2.60    3.34    3.87    4.55
2024 073    2.48    3.73    2.71    3.51    3.95    4.48
2024 074    2.49    3.77    2.72    3.61    3.97    4.53
2024 075    2.51    3.80    2.72    3.79    4.04    4.78
2024 076    2.50    3.79    2.68    3.93    4.05    5.00
2024 077    2.46    3.74    2.65    3.91    4.02    5.04
2024 078    2.39    3.64    2.59    3.82    3.97    4.87
2024 079    2.30    3.53    2.52    3.72    3.90    4.52
2024 080    2.19    3.47    2.47    3.63    3.85    4.12
2024 081    2.07    3.42    2.39    3.53    3.79    3.82
2024 082    1.97    3.42    2.30    3.47    3.75    3.61
2024 083    1.98    3.46    2.33    3.46    3.76    3.42
2024 084    1.91    3.42    2.30    3.48    3.76    3.33
2024 085    1.97    3.53    2.34    3.56    3.79    3.46
2024 086    2.07    3.57    2.42    3.65    3.84    3.74
2024 087    2.15    3.54    2.51    3.78    3.91    4.09
2024 088    2.18    3.51    2.56    3.87    3.96    4.40
2024 089    2.19    3.50    2.56    3.93    3.96    4.68
2024 090    2.19    3.55    2.57    3.98    4.02    4.93
2024 091    2.22    3.60    2.66    4.09    4.10    5.29
2024 092    2.22    3.65    2.72    4.26    4.13    5.48
2024 093    2.29    3.74    2.76    4.37    4.09    5.61
2024 094    2.43    3.90    2.89    4.51    4.16    5.75
2024 095    2.56    3.99    3.02    4.63    4.33    5.88
2024 096    2.66    4.04    3.12    4.81    4.50    6.19
2024 097    2.72    4.10    3.27    4.97    4.65    6.48
2024 098    2.79    4.16    3.36    5.16    4.76    6.79
2024 099    2.76    4.23    3.42    5.27    4.65    7.00
2024 100    2.70    4.31    3.47    5.41    4.62    7.30
2024 101    2.70    4.38    3.53    5.56    4.67    7.69
2024 102    2.74    4.51    3.64    5.84    4.78    7.99
2024 103    2.81    4.68    3.81    6.14    4.94    8.20
2024 104    2.91    4.82    3.92    6.27    5.07    8.29
2024 105    2.96    4.98    4.05    6.42    5.16    8.54
2024 106    2.99    5.07    4.12    6.61    5.27    9.00
2024 107    2.97    5.06    4.18    6.75    5.38    9.30
2024 108    2.98    5.02    4.27    6.90    5.42    9.54
2024 109    2.95    5.01    4.31    7.07    5.37    9.88
2024 110    2.91    5.05    4.32    7.23    5.30   10.14
2024 111    2.88    5.02    4.23    7.33    5.23    9.99
2024 112    2.90    5.04    4.20    7.46    5.25    9.84
2024 113    2.90    5.05    4.26    7.60    5.33    9.73
