  Daily Lake Average Surface Water Temperature
                     From
 Great Lakes Surface Environmental Analysis maps

--------------------------------------------------------
                  Surf. Water Temp. (degrees C)

Year Day    Sup.   Mich.   Huron    Erie    Ont.  St.Clr
--------------------------------------------------------

2023 114    2.13    4.15    3.41    6.75    4.82    7.38
2023 115    1.94    4.11    3.29    6.87    4.94    7.30
2023 116    1.99    4.20    3.31    7.11    5.13    7.32
2023 117    2.10    4.28    3.36    7.24    5.28    7.58
2023 118    2.08    4.24    3.41    7.29    5.38    7.86
2023 119    2.07    4.20    3.52    7.39    5.42    8.01
2023 120    2.10    4.28    3.66    7.52    5.46    8.13
2023 121    2.14    4.41    3.81    7.64    5.56    8.27
2023 122    2.17    4.51    3.89    7.85    5.71    8.52
2023 123    2.18    4.55    3.94    8.05    6.11    8.78
2023 124    2.18    4.50    4.03    8.19    6.52    9.01
2023 125    2.20    4.46    4.03    8.36    6.71    9.22
2023 126    2.21    4.51    4.06    8.50    6.86    9.36
2023 127    2.24    4.64    4.14    8.87    7.02    9.59
2023 128    2.26    4.81    4.23    9.51    7.33   10.13
2023 129    2.30    4.98    4.37    9.97    7.58   10.81
2023 130    2.27    5.17    4.50   10.29    7.68   10.95
2023 131    2.38    5.39    4.64   10.71    7.80   11.01
2023 132    2.46    5.49    4.72   11.25    8.02   11.16
2023 133    2.60    5.65    4.85   11.71    8.40   11.62
2023 134    2.82    6.00    5.12   12.11    8.80   12.02
2023 135    2.93    6.36    5.43   12.07    8.91   12.39
2023 136    3.04    6.56    5.59   11.78    8.79   12.60
2023 137    3.01    6.57    5.62   11.47    8.57   12.77
2023 138    3.00    6.51    5.60   11.37    8.56   12.95
2023 139    3.08    6.65    5.70   11.51    8.69   13.13
2023 140    3.15    6.88    5.91   11.81    8.87   13.32
2023 141    3.12    7.12    6.14   12.06    9.03   13.48
2023 142    3.11    7.49    6.34   12.25    9.21   13.70
2023 143    3.22    7.88    6.59   12.53    9.54   13.87
2023 144    3.32    8.07    6.82   12.85    9.86   14.22
2023 145    3.41    8.06    6.99   12.93   10.05   14.30
2023 146    3.55    8.06    7.11   13.06   10.35   14.40
2023 147    3.74    8.37    7.42   13.32   10.76   14.48
2023 148    3.84    8.98    7.91   13.78   11.41   14.71
2023 149    3.90   10.07    8.74   14.55   12.19   15.05
2023 150    3.91   11.13    9.68   15.28   12.73   15.63
2023 151    3.80   12.02   10.53   15.94   13.31   16.35
2023 152    3.64   12.71   11.21   16.58   14.00   17.02
2023 153    3.66   13.51   11.82   17.34   14.57   17.62
2023 154    3.75   14.20   12.37   17.69   14.75   18.09
2023 155    3.82   14.52   12.68   17.18   14.28   18.06
2023 156    3.86   14.61   12.80   16.76   13.95   17.92
2023 157    3.93   14.14   12.68   16.49   13.73   17.79
2023 158    4.00   13.56   12.49   16.35   13.63   17.64
2023 159    4.04   13.31   12.45   16.33   13.83   17.59
2023 160    4.06   13.41   12.54   16.43   14.14   17.67
2023 161    4.11   13.37   12.57   16.55   14.51   17.84
2023 162    4.19   12.99   12.40   16.67   14.74   17.69
2023 163    4.24   12.48   12.00   16.59   14.63   17.35
2023 164    4.37   12.33   11.70   16.45   14.52   17.05
