  Daily Lake Average Surface Water Temperature
                     From
 Great Lakes Surface Environmental Analysis maps
  
--------------------------------------------------------
               Surf. Water Temp. (degrees C)
   
Year Day    Sup.   Mich.   Huron    Erie    Ont.  St.Clr
--------------------------------------------------------
  
2013 001    3.73    4.82    3.81    3.44    4.98    1.11
2013 002    3.72    4.75    3.77    3.23    4.96    0.89
2013 003    3.53    4.78    3.71    3.05    4.90    0.21
2013 004    3.76    4.81    3.72    2.98    4.82    0.21
2013 005    3.71    4.77    3.67    2.94    4.76    0.21
2013 006    3.64    4.66    3.61    2.92    4.68    0.21
2013 007    3.65    4.62    3.63    2.90    4.61    0.21
2013 008    3.70    4.66    3.62    2.87    4.58    0.21
2013 009    3.75    4.68    3.60    2.94    4.57    0.21
2013 010    3.79    4.64    3.54    2.97    4.56    1.24
2013 011    3.80    4.56    3.56    3.01    4.57    1.26
2013 012    3.72    4.46    3.58    3.01    4.56    1.32
2013 013    3.59    4.36    3.55    2.98    4.54    1.54
2013 014    3.48    4.29    3.52    2.92    4.52    1.52
2013 015    3.41    4.22    3.49    2.81    4.46    1.62
2013 016    3.37    4.18    3.42    2.78    4.40    1.43
2013 017    3.32    4.18    3.39    2.69    4.35    2.11
2013 018    3.31    4.11    3.25    2.56    4.27    0.21
2013 019    3.25    4.12    3.22    2.42    4.09    0.21
2013 020    3.25    4.07    3.20    2.19    3.94    1.87
2013 021    3.10    3.99    3.16    2.03    3.88    1.96
2013 022    2.99    3.81    2.87    1.62    3.75    0.21
2013 023    2.81    3.69    2.66    1.15    3.52    0.21
2013 024    2.85    3.53    2.62    1.11    3.32    0.21
2013 025    2.33    3.51    2.54    0.92    3.35    0.21
2013 026    2.47    3.44    2.44    0.84    3.11    0.21
2013 027    2.19    3.34    2.16    0.98    3.33    0.21
2013 028    2.11    3.35    2.08    0.94    3.29    0.21
2013 029    2.01    3.25    2.17    1.15    3.30    0.21
2013 030    1.99    3.17    2.10    1.09    3.32    0.21
2013 031    1.94    3.00    1.92    1.27    3.25    0.21
2013 032    1.85    2.77    1.74    1.23    3.19    0.21
2013 033    1.71    2.76    1.66    1.19    3.08    0.21
2013 034    1.60    2.57    1.60    1.13    3.07    0.21
2013 035    1.65    2.59    1.49    1.03    3.14    0.21
2013 036    1.53    2.49    1.37    0.39    3.11    0.21
2013 037    1.54    2.57    1.51    0.40    3.20    0.21
2013 038    1.49    2.56    1.41    0.36    3.06    0.21
2013 039    1.44    2.49    1.52    0.43    3.01    0.21
2013 040    1.30    2.38    1.32    0.37    2.75    0.21
2013 041    1.32    2.40    1.32    0.28    2.60    0.21
2013 042    1.40    2.56    1.61    0.34    2.65    0.21
2013 043    1.41    2.55    1.60    0.44    2.90    0.21
2013 044    1.40    2.52    1.49    0.41    2.86    0.20
2013 045    1.39    2.54    1.50    0.43    2.77    0.20
2013 046    1.32    2.52    1.36    0.37    2.74    0.20
2013 047    1.25    2.44    1.49    0.37    2.71    0.20
2013 048    0.98    2.39    1.35    0.28    2.60    0.20
2013 049    1.03    2.28    1.28    0.29    2.53    0.20
2013 050    1.11    2.39    1.34    0.28    2.50    0.20
2013 051    1.15    2.31    1.40    0.29    2.55    0.20
