  Daily Lake Average Surface Water Temperature
                     From
 Great Lakes Surface Environmental Analysis maps

--------------------------------------------------------
                  Surf. Water Temp. (degrees C)

Year Day    Sup.   Mich.   Huron    Erie    Ont.  St.Clr
--------------------------------------------------------

2023 001    3.30    4.20    4.06    2.56    4.73    0.20
2023 002    3.27    4.15    3.98    2.48    4.70    0.20
2023 003    3.26    4.13    3.96    2.46    4.69    0.20
2023 004    3.28    4.09    3.85    2.40    4.59    0.20
2023 005    3.29    4.05    3.83    2.40    4.50    0.20
2023 006    3.26    4.03    3.79    2.43    4.45    1.95
2023 007    3.23    3.99    3.79    2.38    4.42    2.82
2023 008    3.19    4.01    3.77    2.32    4.30    3.21
2023 009    3.21    3.98    3.73    2.24    4.25    3.30
2023 010    3.21    3.95    3.69    2.24    4.20    3.59
2023 011    3.16    3.94    3.64    2.22    4.18    3.28
2023 012    3.11    3.93    3.58    2.20    4.17    3.06
2023 013    3.06    3.95    3.53    2.18    4.15    3.35
2023 014    2.99    3.93    3.34    2.09    4.14    3.24
2023 015    3.06    4.01    3.32    1.98    4.12    1.64
2023 016    3.14    4.06    3.26    1.98    4.02    0.86
2023 017    3.15    4.03    3.40    2.13    4.03    2.11
2023 018    3.10    3.97    3.39    2.19    4.00    2.85
2023 019    3.04    3.92    3.42    2.22    3.96    3.25
2023 020    2.92    3.84    3.32    2.21    3.99    3.42
2023 021    2.84    3.72    3.26    2.17    3.96    3.33
2023 022    2.74    3.57    3.15    2.15    3.90    3.25
2023 023    2.63    3.51    3.07    2.12    3.84    3.21
2023 024    2.59    3.48    3.06    2.13    3.81    3.20
2023 025    2.51    3.43    2.98    2.11    3.78    3.14
2023 026    2.50    3.29    2.85    2.04    3.71    3.02
2023 027    2.37    3.13    2.58    1.91    3.56    2.69
2023 028    2.33    3.05    2.55    1.79    3.49    2.33
2023 029    2.21    2.97    2.43    1.67    3.45    2.15
2023 030    2.15    2.85    2.36    1.58    3.43    1.91
2023 031    2.07    2.79    2.30    1.43    3.37    0.20
2023 032    2.00    2.79    2.26    1.40    3.33    0.20
2023 033    1.96    2.81    2.28    1.26    3.32    0.20
2023 034    1.97    2.73    2.15    1.24    3.23    0.20
2023 035    1.85    2.51    2.02    0.93    2.94    0.20
2023 036    1.80    2.67    1.94    0.87    2.84    0.20
2023 037    1.81    2.68    1.98    1.01    2.97    0.20
2023 038    1.85    2.92    2.11    1.01    3.18    0.20
2023 039    1.94    2.97    2.16    1.10    3.31    0.20
2023 040    1.95    2.99    2.21    1.18    3.36    0.20
2023 041    1.98    2.95    2.15    1.33    3.33    0.20
2023 042    1.94    2.95    2.26    1.58    3.37    1.20
2023 043    2.01    3.02    2.31    1.68    3.38    1.75
2023 044    2.05    3.03    2.27    1.68    3.31    1.98
2023 045    2.06    3.02    2.32    1.70    3.42    2.34
2023 046    2.02    3.01    2.35    1.76    3.48    2.68
2023 047    2.03    3.03    2.32    1.69    3.48    3.00
2023 048    2.04    3.07    2.28    1.66    3.41    3.08
2023 049    2.13    3.14    2.27    1.63    3.33    2.52
2023 050    1.92    3.00    2.08    1.64    3.23    2.39
2023 051    1.81    2.83    2.05    1.68    3.23    2.68
