  Daily Lake Average Surface Water Temperature
                     From
 Great Lakes Surface Environmental Analysis maps
  
--------------------------------------------------------
               Surf. Water Temp. (degrees C)
   
Year Day    Sup.   Mich.   Huron    Erie    Ont.  St.Clr
2003 107    0.41    1.55    0.91    2.52    1.80    6.03
2003 108    0.42    1.64    0.93    2.71    1.87    6.36
2003 109    0.45    1.71    0.96    2.90    1.92    6.73
2003 110    0.46    1.79    0.98    3.12    1.97    7.13
2003 111    0.81    2.08    1.02    3.43    2.14    7.36
2003 112    0.83    2.14    1.04    3.59    2.24    7.55
2003 113    0.78    2.31    1.16    3.77    2.36    7.67
2003 114    0.86    2.36    1.14    3.91    2.56    7.55
2003 115    1.15    2.64    1.21    4.51    2.21    8.26
2003 116    1.29    2.96    1.47    4.74    2.37    8.29
2003 117    1.24    2.81    1.57    5.41    2.62    8.73
2003 118    1.31    3.03    1.72    5.66    3.06    9.20
2003 119    1.22    3.11    1.72    5.68    2.84    9.67
2003 120    1.30    3.05    1.72    5.87    2.87    9.81
2003 121    1.19    3.00    1.66    6.05    3.00    9.83
2003 122    1.21    2.97    1.64    6.20    3.05    9.76
2003 123    1.66    3.17    1.81    6.30    3.31    9.80
2003 124    1.63    3.29    1.94    6.54    3.20   10.00
2003 125    1.58    3.31    1.75    6.66    3.33   10.15
2003 126    1.64    3.39    1.85    7.11    3.41   10.37
2003 127    1.62    3.49    1.96    7.46    3.54   10.65
2003 128    1.65    3.51    2.82    7.40    3.65   10.77
2003 129    1.68    3.54    2.82    7.30    3.81   10.68
2003 130    1.75    3.63    2.84    7.41    3.73   10.75
2003 131    1.83    3.78    2.86    7.62    3.78   10.94
2003 132    1.98    3.93    3.06    7.90    3.86   11.11
2003 133    2.05    4.14    3.27    8.22    3.91   11.27
2003 134    2.16    4.37    3.60    8.86    3.99   11.43
2003 135    2.13    4.29    3.59    9.27    4.13   11.75
2003 136    2.13    4.28    3.71    9.04    4.24   11.85
2003 137    2.05    4.30    3.84    8.89    4.37   11.97
2003 138    2.14    4.48    3.99    8.91    4.41   12.03
2003 139    2.29    4.54    3.96    9.20    4.44   12.09
2003 140    2.37    4.58    4.21    9.43    4.52   12.08
2003 141    2.39    4.70    4.51    9.76    4.72   12.14
2003 142    2.67    5.03    4.26    9.87    4.68   12.30
2003 143    2.72    5.17    4.66    9.89    4.81   12.48
2003 144    3.06    5.30    4.76    9.98    5.01   12.34
2003 145    2.79    5.55    4.89   10.48    5.29   12.29
2003 146    2.99    5.85    5.07   11.12    5.55   12.46
2003 147    3.29    5.95    5.31   11.34    5.71   12.85
2003 148    2.87    6.03    5.49   11.50    5.87   13.16
2003 149    2.89    5.83    5.60   12.06    6.01   13.51
2003 150    3.05    5.67    5.59   12.27    6.12   13.57
2003 151    3.23    5.45    5.50   11.74    6.12   13.04
2003 152    3.44    5.92    5.61   11.36    6.06   12.67
2003 153    3.52    6.13    5.62   11.57    6.15   12.87
2003 154    3.47    6.34    5.80   11.95    6.13   13.10
2003 155    3.61    6.57    5.99   11.92    6.35   13.13
